"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"8722","","Retinoblastoma gene in cancer","""WP""","ENSG00000081052|ENSG00000136999|ENSG00000184194|ENSG00000196549|ENSG00000042980|ENSG00000185666|ENSG00000116667|ENSG00000205726|ENSG00000266146|ENSG00000272733","10","66719","64245|64633|64927|64945|64353|65349|64679|64279|64519|64235","1.67627374047549E-5","0.09615384615384616","104","0.11235955056179775","WikiPathways","WP:WP2446","Retinoblastoma gene in cancer","89"
"21017","","""Any process that modulates the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""ISO""|""IEA""|""IDA""","ENSG00000152689|ENSG00000125845|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000081026|ENSG00000151725|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000114315","11","66719","64287|64605|64579|64267|64897|64643|64607|64617|64235|64257|64673","1.6924502669419485E-5","0.06358381502890173","173","0.08527131782945736","Gene Ontology Biological Process","GO:0051983","regulation of chromosome segregation","129"
"21017","","""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]","""IEP""|""IC""|""NAS""|""TAS""|""IGI""|""HMP""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000214357|ENSG00000077238|ENSG00000172995|ENSG00000151136|ENSG00000256316|ENSG00000140009|ENSG00000163808|ENSG00000134369|ENSG00000091409|ENSG00000229989|ENSG00000081052|ENSG00000182557|ENSG00000240666|ENSG00000186818|ENSG00000131620|ENSG00000136999|ENSG00000115738|ENSG00000152689|ENSG00000135540|ENSG00000178999|ENSG00000250111|ENSG00000153885|ENSG00000251675|ENSG00000267690|ENSG00000160683|ENSG00000164929|ENSG00000211685|ENSG00000227191|ENSG00000151458|ENSG00000070081|ENSG00000157557|ENSG00000171105|ENSG00000113296|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000169031|ENSG00000173894|ENSG00000203811|ENSG00000106070|ENSG00000127561|ENSG00000099725|ENSG00000234184|ENSG00000125384|ENSG00000136158|ENSG00000004399|ENSG00000165480|ENSG00000171488|ENSG00000196549|ENSG00000253701|ENSG00000186187|ENSG00000240754|ENSG00000123095|ENSG00000245648|ENSG00000109805|ENSG00000110237|ENSG00000042980|ENSG00000143369|ENSG00000170835|ENSG00000053747|ENSG00000162543|ENSG00000223907|ENSG00000019991|ENSG00000174776|ENSG00000005108|ENSG00000184584|ENSG00000166352|ENSG00000143476|ENSG00000255189|ENSG00000145649|ENSG00000203852|ENSG00000185666|ENSG00000223806|ENSG00000022267|ENSG00000136111|ENSG00000182983|ENSG00000152953|ENSG00000204482|ENSG00000184357|ENSG00000182611|ENSG00000127533|ENSG00000149418|ENSG00000081026|ENSG00000151725|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000106366|ENSG00000069702|ENSG00000266146|ENSG00000088325|ENSG00000247081|ENSG00000272733|ENSG00000169439|ENSG00000183722|ENSG00000197471|ENSG00000176890|ENSG00000249717|ENSG00000211821|ENSG00000211942|ENSG00000170677|ENSG00000122952|ENSG00000162496|ENSG00000267262|ENSG00000256018|ENSG00000124693|ENSG00000123485|ENSG00000254060","111","66719","64481|64307|64357|64939|64693|64263|64553|64535|64295|64665|64245|64631|64667|64919|64611|64633|64639|64287|64543|64573|64909|64281|64953|64237|64337|64229|64303|65359|64311|64963|64497|64285|64931|64561|64333|64889|65345|65337|64325|64301|64293|64671|64911|64275|64527|64251|64563|64545|64547|64341|64345|64945|64315|64531|65357|64283|64905|64637|64339|64353|64227|64495|64635|64691|64929|64943|64695|64249|64897|64329|64603|64299|64557|64487|65349|64903|64615|64647|64253|64923|64289|64559|64585|64549|64363|64643|64607|64305|64541|65341|64707|64621|64519|64683|64645|64235|64595|64659|64525|64257|65343|64907|64243|64493|64565|64323|65351|64651|64641|64655|64597","1.8632816883311032E-5","0.6416184971098265","173","0.012342933392638719","Gene Ontology Biological Process","GO:0050896","response to stimulus","8993"
"21017","","""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000163808|ENSG00000134369|ENSG00000091409|ENSG00000081052|ENSG00000186818|ENSG00000153885|ENSG00000251675|ENSG00000164929|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000234184|ENSG00000125384|ENSG00000123095|ENSG00000110237|ENSG00000211898|ENSG00000170835|ENSG00000166352|ENSG00000185666|ENSG00000223806|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000233355|ENSG00000069702|ENSG00000197471|ENSG00000211821","28","66719","64553|64535|64295|64245|64919|64281|64953|64229|64963|64497|64561|64333|64251|64563|64283|64339|64319|64495|64329|65349|64903|64289|64363|64305|65341|64621|64525|64907","2.227314064211111E-5","0.16184971098265896","173","0.028","Gene Ontology Biological Process","GO:2000145","regulation of cell motility","1000"
"21017","","""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]","""IEP""|""IGI""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000077238|ENSG00000163808|ENSG00000091409|ENSG00000182557|ENSG00000131620|ENSG00000164929|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000169031|ENSG00000234184|ENSG00000125384|ENSG00000165480|ENSG00000101412|ENSG00000245648|ENSG00000110237|ENSG00000139318|ENSG00000211898|ENSG00000143369|ENSG00000162543|ENSG00000223806|ENSG00000152953|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000233355|ENSG00000272733|ENSG00000211821|ENSG00000170677|ENSG00000256018","34","66719","64307|64553|64295|64631|64611|64229|64963|64497|64561|64333|65345|65337|64325|64301|64251|64563|64341|64505|64905|64339|64489|64319|64227|64691|64903|64923|64289|64363|64305|65341|64235|64907|64493|64651","2.236332029895732E-5","0.19653179190751446","173","0.024062278839348902","Gene Ontology Biological Process","GO:2000026","regulation of multicellular organismal development","1413"
"14822","","hsa-miR-193b-3p","""MIRNA""","ENSG00000183657|ENSG00000167723|ENSG00000169116|ENSG00000136999|ENSG00000250111|ENSG00000237438|ENSG00000151458|ENSG00000125845|ENSG00000095932|ENSG00000148143|ENSG00000196549|ENSG00000231119|ENSG00000169607|ENSG00000042980|ENSG00000164045|ENSG00000162676|ENSG00000255189|ENSG00000185666|ENSG00000116667|ENSG00000197558|ENSG00000267366|ENSG00000081026|ENSG00000151725|ENSG00000233355|ENSG00000152253|ENSG00000266146|ENSG00000272733|ENSG00000176890|ENSG00000122952","29","66719","64697|64265|64499|64633|64909|64255|64311|64605|65337|64349|64945|64593|64579|64353|64267|64513|64299|65349|64679|64239|64583|64643|64607|65341|64921|64519|64235|64257|64565","2.7800780830792858E-5","0.17791411042944785","163","0.03419811320754717","mirTarBase miRNA targets","MIRNA:hsa-miR-193b-3p","hsa-miR-193b-3p","848"
"21017","","""Any process that modulates the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000131620|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000196549|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000144677|ENSG00000116667|ENSG00000081026|ENSG00000151725|ENSG00000021762|ENSG00000272733|ENSG00000176890","18","66719","64611|64287|64909|64927|64229|64945|64353|64267|64695|64897|64947|64961|64679|64643|64607|64617|64235|64257","3.50336155200615E-5","0.10404624277456648","173","0.04157043879907621","Gene Ontology Biological Process","GO:1901987","regulation of cell cycle phase transition","433"
"21017","","""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]","""IEP""|""HEP""|""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000077238|ENSG00000112320|ENSG00000167723|ENSG00000163808|ENSG00000072110|ENSG00000134369|ENSG00000091409|ENSG00000138160|ENSG00000229989|ENSG00000081052|ENSG00000182557|ENSG00000240666|ENSG00000186818|ENSG00000131620|ENSG00000136999|ENSG00000131747|ENSG00000152689|ENSG00000178999|ENSG00000153885|ENSG00000184194|ENSG00000251675|ENSG00000267690|ENSG00000109047|ENSG00000164929|ENSG00000227191|ENSG00000175029|ENSG00000070081|ENSG00000157557|ENSG00000171105|ENSG00000113296|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000066279|ENSG00000169031|ENSG00000163053|ENSG00000234184|ENSG00000125384|ENSG00000004399|ENSG00000165480|ENSG00000196549|ENSG00000186187|ENSG00000101412|ENSG00000023445|ENSG00000245648|ENSG00000110237|ENSG00000139318|ENSG00000211898|ENSG00000143369|ENSG00000170835|ENSG00000148498|ENSG00000162543|ENSG00000175063|ENSG00000005108|ENSG00000184584|ENSG00000166352|ENSG00000144677|ENSG00000185666|ENSG00000223806|ENSG00000136111|ENSG00000116667|ENSG00000197558|ENSG00000117632|ENSG00000152953|ENSG00000204482|ENSG00000163554|ENSG00000267366|ENSG00000228682|ENSG00000149418|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000106366|ENSG00000139734|ENSG00000069702|ENSG00000266146|ENSG00000272733|ENSG00000197471|ENSG00000249717|ENSG00000211821|ENSG00000211942|ENSG00000170677|ENSG00000256018|ENSG00000124693|ENSG00000254060","88","66719","64307|64261|64265|64553|64351|64535|64295|64669|64665|64245|64631|64667|64919|64611|64633|64601|64287|64573|64281|64927|64953|64237|64273|64229|65359|64313|64963|64497|64285|64931|64561|64333|64889|65345|65337|64325|64503|64301|64483|64251|64563|64547|64341|64945|64531|64505|64343|64905|64339|64489|64319|64227|64495|64957|64691|64951|64249|64897|64329|64961|65349|64903|64647|64679|64239|64269|64923|64289|65355|64583|64247|64363|64305|64541|65341|64707|64599|64621|64519|64235|64525|65343|64907|64243|64493|64651|64641|64597","4.7888054559794236E-5","0.5086705202312138","173","0.013584439641864773","Gene Ontology Biological Process","GO:0032502","developmental process","6478"
"21017","","""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]","""TAS""|""IMP""|""ISS""|""IEA""|""IDA""","ENSG00000198467|ENSG00000256316|ENSG00000163808|ENSG00000134369|ENSG00000229989|ENSG00000182557|ENSG00000131620|ENSG00000152689|ENSG00000178999|ENSG00000164929|ENSG00000070081|ENSG00000183690|ENSG00000258810|ENSG00000165349|ENSG00000106070|ENSG00000163053|ENSG00000136158|ENSG00000196549|ENSG00000186187|ENSG00000110237|ENSG00000042980|ENSG00000164045|ENSG00000223907|ENSG00000005108|ENSG00000143476|ENSG00000144677|ENSG00000185666|ENSG00000223806|ENSG00000171848|ENSG00000149418|ENSG00000185477|ENSG00000152253|ENSG00000211821|ENSG00000226281|ENSG00000211942|ENSG00000170677","36","66719","64511|64693|64553|64535|64665|64631|64611|64287|64573|64229|64963|64333|65345|64677|64911|64483|64545|64945|64531|64339|64353|64267|64929|64249|64603|64961|65349|64903|64609|64363|64305|64921|64907|64517|64243|64493","5.168555227165942E-5","0.20809248554913296","173","0.0223463687150838","Gene Ontology Biological Process","GO:0065009","regulation of molecular function","1611"
"21017","","""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]","""IEP""|""IC""|""NAS""|""IGI""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000077238|ENSG00000140009|ENSG00000163808|ENSG00000091409|ENSG00000081052|ENSG00000182557|ENSG00000186818|ENSG00000131620|ENSG00000164929|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000169031|ENSG00000173894|ENSG00000127561|ENSG00000234184|ENSG00000125384|ENSG00000136158|ENSG00000165480|ENSG00000101412|ENSG00000245648|ENSG00000110237|ENSG00000139318|ENSG00000211898|ENSG00000143369|ENSG00000170835|ENSG00000162543|ENSG00000223907|ENSG00000166352|ENSG00000145649|ENSG00000223806|ENSG00000136111|ENSG00000117632|ENSG00000152953|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000233355|ENSG00000069702|ENSG00000272733|ENSG00000169439|ENSG00000197471|ENSG00000249717|ENSG00000211821|ENSG00000211942|ENSG00000170677|ENSG00000256018","52","66719","64307|64263|64553|64295|64245|64631|64919|64611|64229|64963|64497|64561|64333|64889|65345|65337|64325|64301|64293|64275|64251|64563|64545|64341|64505|64905|64339|64489|64319|64227|64495|64691|64929|64329|64557|64903|64647|64269|64923|64289|64363|64305|65341|64621|64235|64595|64525|65343|64907|64243|64493|64651","5.282455207532231E-5","0.30057803468208094","173","0.017759562841530054","Gene Ontology Biological Process","GO:0051239","regulation of multicellular organismal process","2928"
"21017","","""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000163808|ENSG00000134369|ENSG00000091409|ENSG00000081052|ENSG00000186818|ENSG00000153885|ENSG00000251675|ENSG00000164929|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000234184|ENSG00000125384|ENSG00000123095|ENSG00000110237|ENSG00000211898|ENSG00000170835|ENSG00000166352|ENSG00000185666|ENSG00000223806|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000233355|ENSG00000069702|ENSG00000197471|ENSG00000211821","28","66719","64553|64535|64295|64245|64919|64281|64953|64229|64963|64497|64561|64333|64251|64563|64283|64339|64319|64495|64329|65349|64903|64289|64363|64305|65341|64621|64525|64907","5.349184279640297E-5","0.16184971098265896","173","0.026871401151631478","Gene Ontology Biological Process","GO:0040012","regulation of locomotion","1042"
"21017","","""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]","""IEP""|""IC""|""NAS""|""TAS""|""IGI""|""HMP""|""IMP""|""ISS""|""IBA""|""IEA""|""ISO""|""IDA""","ENSG00000214357|ENSG00000077238|ENSG00000151136|ENSG00000256316|ENSG00000167723|ENSG00000163808|ENSG00000134369|ENSG00000091409|ENSG00000169116|ENSG00000229989|ENSG00000081052|ENSG00000182557|ENSG00000240666|ENSG00000186818|ENSG00000131620|ENSG00000136999|ENSG00000115738|ENSG00000152689|ENSG00000135540|ENSG00000178999|ENSG00000250111|ENSG00000153885|ENSG00000184194|ENSG00000251675|ENSG00000267690|ENSG00000160683|ENSG00000164929|ENSG00000227191|ENSG00000151458|ENSG00000175029|ENSG00000070081|ENSG00000157557|ENSG00000113296|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000125845|ENSG00000258810|ENSG00000165349|ENSG00000095932|ENSG00000245869|ENSG00000066279|ENSG00000169031|ENSG00000173894|ENSG00000203811|ENSG00000106070|ENSG00000181826|ENSG00000127561|ENSG00000099725|ENSG00000239998|ENSG00000234184|ENSG00000125384|ENSG00000148143|ENSG00000136158|ENSG00000004399|ENSG00000165480|ENSG00000171488|ENSG00000196549|ENSG00000253701|ENSG00000186187|ENSG00000101412|ENSG00000169607|ENSG00000240754|ENSG00000123095|ENSG00000245648|ENSG00000110237|ENSG00000042980|ENSG00000139318|ENSG00000211898|ENSG00000143369|ENSG00000164045|ENSG00000170835|ENSG00000053747|ENSG00000162543|ENSG00000223907|ENSG00000174776|ENSG00000005108|ENSG00000233836|ENSG00000184584|ENSG00000166352|ENSG00000109674|ENSG00000143476|ENSG00000255189|ENSG00000130844|ENSG00000144677|ENSG00000145649|ENSG00000203852|ENSG00000185666|ENSG00000253673|ENSG00000223806|ENSG00000022267|ENSG00000076641|ENSG00000136111|ENSG00000116667|ENSG00000197558|ENSG00000117632|ENSG00000182983|ENSG00000152953|ENSG00000204482|ENSG00000184357|ENSG00000182611|ENSG00000127533|ENSG00000154447|ENSG00000149418|ENSG00000081026|ENSG00000151725|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000106366|ENSG00000152253|ENSG00000021762|ENSG00000139734|ENSG00000069702|ENSG00000266146|ENSG00000272733|ENSG00000169439|ENSG00000183722|ENSG00000197471|ENSG00000176890|ENSG00000249717|ENSG00000211821|ENSG00000226281|ENSG00000211942|ENSG00000170677|ENSG00000267262|ENSG00000101017|ENSG00000256018|ENSG00000124693|ENSG00000123485|ENSG00000254060|ENSG00000114315","132","66719","64481|64307|64939|64693|64265|64553|64535|64295|64499|64665|64245|64631|64667|64919|64611|64633|64639|64287|64543|64573|64909|64281|64927|64953|64237|64337|64229|65359|64311|64313|64963|64497|64931|64561|64333|64889|64605|65345|64677|65337|64325|64503|64301|64293|64671|64911|64335|64275|64527|64575|64251|64563|64349|64545|64547|64341|64345|64945|64315|64531|64505|64579|65357|64283|64905|64339|64353|64489|64319|64227|64267|64495|64635|64691|64929|64695|64249|64523|64897|64329|64947|64603|64299|64359|64961|64557|64487|65349|64297|64903|64615|64539|64647|64679|64239|64269|64253|64923|64289|64559|64585|64549|64933|64363|64643|64607|64305|64541|65341|64707|64921|64617|64599|64621|64519|64235|64595|64659|64525|64257|65343|64907|64517|64243|64493|65351|64231|64651|64641|64655|64597|64673","7.079770407825751E-5","0.7630057803468208","173","0.01111485348602223","Gene Ontology Biological Process","GO:0050794","regulation of cellular process","11876"
"22115","","""The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins."" [GOC:jl, ISBN:0395825172]","""IPI""|""TAS""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000077238|ENSG00000183657|ENSG00000072110|ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000267694|ENSG00000164929|ENSG00000113296|ENSG00000174607|ENSG00000095932|ENSG00000203811|ENSG00000181826|ENSG00000234184|ENSG00000148143|ENSG00000196549|ENSG00000231119|ENSG00000174776|ENSG00000184584|ENSG00000255189|ENSG00000185666|ENSG00000076641|ENSG00000267366|ENSG00000205726|ENSG00000151725|ENSG00000185477|ENSG00000165507|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000254060","31","66719","64307|64697|64351|64499|64633|64287|64479|64229|64931|64561|65337|64671|64335|64251|64349|64945|64593|64695|64897|64299|65349|64539|64583|64279|64607|64305|64541|64921|64617|64235|64597","7.192066943902265E-5","0.17613636363636365","176","0.021923620933521924","Gene Ontology Cellular Component branch","GO:0015630","microtubule cytoskeleton","1414"
"21017","","""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]","""IEP""|""HEP""|""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000163808|ENSG00000072110|ENSG00000134369|ENSG00000091409|ENSG00000138160|ENSG00000182557|ENSG00000240666|ENSG00000186818|ENSG00000131620|ENSG00000178999|ENSG00000153885|ENSG00000251675|ENSG00000267690|ENSG00000109047|ENSG00000164929|ENSG00000175029|ENSG00000070081|ENSG00000157557|ENSG00000171105|ENSG00000113296|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000169031|ENSG00000163053|ENSG00000234184|ENSG00000125384|ENSG00000165480|ENSG00000196549|ENSG00000101412|ENSG00000245648|ENSG00000110237|ENSG00000139318|ENSG00000143369|ENSG00000170835|ENSG00000148498|ENSG00000162543|ENSG00000005108|ENSG00000184584|ENSG00000166352|ENSG00000185666|ENSG00000223806|ENSG00000136111|ENSG00000152953|ENSG00000204482|ENSG00000163554|ENSG00000228682|ENSG00000149418|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000106366|ENSG00000139734|ENSG00000266146|ENSG00000272733|ENSG00000197471|ENSG00000249717|ENSG00000211821|ENSG00000170677|ENSG00000124693","63","66719","64553|64351|64535|64295|64669|64631|64667|64919|64611|64573|64281|64953|64237|64273|64229|64313|64963|64497|64285|64931|64561|64333|64889|65345|65337|64325|64301|64483|64251|64563|64341|64945|64505|64905|64339|64489|64227|64495|64957|64691|64249|64897|64329|65349|64903|64647|64923|64289|65355|64247|64363|64305|64541|65341|64707|64599|64519|64235|64525|65343|64907|64493|64641","8.40705959204002E-5","0.36416184971098264","173","0.015809284818067756","Gene Ontology Biological Process","GO:0048731","system development","3985"
"21017","","""Any process that modulates the frequency, rate or extent of mitosis."" [GOC:go_curators]","""NAS""|""IMP""|""IBA""|""IEA""|""IDA""","ENSG00000152689|ENSG00000070081|ENSG00000125845|ENSG00000164045|ENSG00000184584|ENSG00000081026|ENSG00000151725|ENSG00000021762|ENSG00000176890|ENSG00000114315","10","66719","64287|64963|64605|64267|64897|64643|64607|64617|64257|64673","8.595306828222548E-5","0.057803468208092484","173","0.0847457627118644","Gene Ontology Biological Process","GO:0007088","regulation of mitotic nuclear division","118"
"21017","","""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]","""IEP""|""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000214357|ENSG00000077238|ENSG00000151136|ENSG00000163808|ENSG00000134369|ENSG00000091409|ENSG00000229989|ENSG00000081052|ENSG00000182557|ENSG00000186818|ENSG00000135540|ENSG00000178999|ENSG00000251675|ENSG00000267690|ENSG00000070081|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000095932|ENSG00000245869|ENSG00000169031|ENSG00000173894|ENSG00000106070|ENSG00000127561|ENSG00000234184|ENSG00000125384|ENSG00000136158|ENSG00000171488|ENSG00000186187|ENSG00000123095|ENSG00000110237|ENSG00000170835|ENSG00000223907|ENSG00000005108|ENSG00000185666|ENSG00000223806|ENSG00000152953|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000069702|ENSG00000169439|ENSG00000197471|ENSG00000211821|ENSG00000170677|ENSG00000267262|ENSG00000256018|ENSG00000124693","50","66719","64481|64307|64939|64553|64535|64295|64665|64245|64631|64919|64543|64573|64953|64237|64963|64561|64333|64889|65337|64325|64301|64293|64911|64275|64251|64563|64545|64345|64531|64283|64339|64495|64929|64249|65349|64903|64923|64289|64363|64305|64541|65341|64621|64595|64525|64907|64493|65351|64651|64641","9.45287810352082E-5","0.28901734104046245","173","0.01783803068141277","Gene Ontology Biological Process","GO:0007166","cell surface receptor signaling pathway","2803"
"21017","","""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]","""IEP""|""HEP""|""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000077238|ENSG00000112320|ENSG00000167723|ENSG00000163808|ENSG00000072110|ENSG00000134369|ENSG00000091409|ENSG00000138160|ENSG00000229989|ENSG00000081052|ENSG00000182557|ENSG00000240666|ENSG00000186818|ENSG00000131620|ENSG00000136999|ENSG00000152689|ENSG00000178999|ENSG00000153885|ENSG00000184194|ENSG00000251675|ENSG00000267690|ENSG00000109047|ENSG00000164929|ENSG00000175029|ENSG00000070081|ENSG00000157557|ENSG00000171105|ENSG00000113296|ENSG00000174607|ENSG00000183690|ENSG00000151208|ENSG00000258810|ENSG00000095932|ENSG00000245869|ENSG00000066279|ENSG00000169031|ENSG00000163053|ENSG00000234184|ENSG00000125384|ENSG00000165480|ENSG00000196549|ENSG00000101412|ENSG00000245648|ENSG00000110237|ENSG00000139318|ENSG00000211898|ENSG00000143369|ENSG00000170835|ENSG00000148498|ENSG00000162543|ENSG00000005108|ENSG00000184584|ENSG00000166352|ENSG00000144677|ENSG00000185666|ENSG00000223806|ENSG00000136111|ENSG00000116667|ENSG00000197558|ENSG00000117632|ENSG00000152953|ENSG00000204482|ENSG00000163554|ENSG00000267366|ENSG00000228682|ENSG00000149418|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000106366|ENSG00000139734|ENSG00000069702|ENSG00000266146|ENSG00000272733|ENSG00000197471|ENSG00000249717|ENSG00000211821|ENSG00000211942|ENSG00000170677|ENSG00000256018|ENSG00000124693|ENSG00000254060","82","66719","64307|64261|64265|64553|64351|64535|64295|64669|64665|64245|64631|64667|64919|64611|64633|64287|64573|64281|64927|64953|64237|64273|64229|64313|64963|64497|64285|64931|64561|64333|64889|65345|65337|64325|64503|64301|64483|64251|64563|64341|64945|64505|64905|64339|64489|64319|64227|64495|64957|64691|64249|64897|64329|64961|65349|64903|64647|64679|64239|64269|64923|64289|65355|64583|64247|64363|64305|64541|65341|64707|64599|64621|64519|64235|64525|65343|64907|64243|64493|64651|64641|64597","9.919008236118553E-5","0.47398843930635837","173","0.013841998649561107","Gene Ontology Biological Process","GO:0048856","anatomical structure development","5924"
